time,length,frequency,pan,gain,voice,event
0.0,0.125,0.635160773850045,0.7499999999999998,1.0,2,0
0.0,0.125,0.6327678805505037,-0.75,1.0,3,0
0.0,0.5,0.10775025804023337,0.7499999999999998,1.0,6,0
0.0,0.5,0.3330974212637555,-1.0,0.0,4,0
0.0,0.5,0.09595385463647392,-0.75,1.0,7,0
0.0,0.125,0.8639610975566788,1.0,0.0,1,0
0.0,0.5,0.3271470716426494,1.0,0.0,5,0
0.0,0.125,0.8651596900898574,-1.0,0.0,0,0
0.125,0.125,0.7910310745309859,-1.0,0.0,0,1
0.125,0.125,0.561328732502179,0.7499999999999998,1.0,2,1
0.125,0.125,0.7895335056550004,1.0,0.0,1,1
0.125,0.125,0.5583402886488249,-0.75,1.0,3,1
0.25,0.125,0.4623864340123508,-0.75,1.0,3,2
0.25,0.125,0.6955749190283831,-1.0,0.0,0,2
0.25,0.125,0.6935796510185263,1.0,0.0,1,2
0.25,0.125,0.4663651051372929,0.7499999999999998,1.0,2,2
0.375,0.125,0.561328732502179,0.7499999999999998,1.0,2,3
0.375,0.125,0.7895335056550004,1.0,0.0,1,3
0.375,0.125,0.5583402886488249,-0.75,1.0,3,3
0.375,0.125,0.7910310745309859,-1.0,0.0,0,3
0.5,0.25,0.561328732502179,-1.0,0.0,4,1
0.5,0.25,0.3271470716426494,-0.75,1.0,7,1
0.5,0.25,0.5583402886488249,1.0,0.0,5,1
0.5,0.125,0.8639610975566788,1.0,0.0,1,4
0.5,0.125,0.6327678805505037,-0.75,1.0,3,4
0.5,0.125,0.635160773850045,0.7499999999999998,1.0,2,4
0.5,0.125,0.8651596900898574,-1.0,0.0,0,4
0.5,0.25,0.3330974212637555,0.7499999999999998,1.0,6,1
0.625,0.125,0.561328732502179,0.7499999999999998,1.0,2,5
0.625,0.125,0.7910310745309859,-1.0,0.0,0,5
0.625,0.125,0.5583402886488249,-0.75,1.0,3,5
0.625,0.125,0.7895335056550004,1.0,0.0,1,5
0.75,0.125,0.8854873602914745,1.0,0.0,1,6
0.75,0.5,0.13523936236970122,-0.75,1.0,7,2
0.75,0.5,0.3664325793758767,1.0,0.0,5,2
0.75,0.125,0.8866111668462147,-1.0,0.0,0,6
0.75,0.125,0.654294143285299,-0.75,1.0,3,6
0.75,0.125,0.6565379826451244,0.7499999999999998,1.0,2,6
0.75,0.5,0.37172699701044093,-1.0,0.0,4,2
0.75,0.5,0.14574546897029303,0.7499999999999998,1.0,6,2
0.875,0.125,0.5583402886488249,-0.75,1.0,3,7
0.875,0.125,0.7910310745309859,-1.0,0.0,0,7
0.875,0.125,0.561328732502179,0.7499999999999998,1.0,2,7
0.875,0.125,0.7895335056550004,1.0,0.0,1,7
1.0,0.125,0.8866111668462147,-1.0,0.0,0,8
1.0,0.125,0.8854873602914745,1.0,0.0,1,8
1.0,0.125,0.6565379826451244,0.7499999999999998,1.0,2,8
1.0,0.125,0.654294143285299,-0.75,1.0,3,8
1.125,0.125,0.561328732502179,0.7499999999999998,1.0,2,9
1.125,0.125,0.7895335056550004,1.0,0.0,1,9
